timestamp,temp,wind,status,trend,score
2026-07-28T19:06,29.7,6.5,WARM,Rising,62,
2026-07-29T01:41,25.6,12.5,WARM,Falling,57,
2026-07-29T08:19,19.6,1.3,OK,Falling,39,
2026-07-29T13:44,20.5,3.7,WARM,Stable,42,
2026-07-29T18:56,28.5,7.3,WARM,Rising,60,
2026-07-30T01:24,26.4,13.2,WARM,Falling,59,
2026-07-30T08:06,18.8,4.3,OK,Falling,39,
2026-07-30T13:26,20.4,4.5,WARM,Rising,43,
2026-07-30T19:08,30.2,11.5,HOT,Rising,66,
2026-07-31T01:51,24.7,12.0,WARM,Falling,55,
2026-07-31T08:33,19.0,1.4,OK,Falling,38,
2026-07-31T13:39,19.7,2.9,OK,Stable,40,
2026-07-31T19:07,33.4,8.4,HOT,Rising,71,
2026-08-01T01:52,25.3,11.9,WARM,Falling,56,
2026-08-01T08:02,20.3,4.1,WARM,Falling,42,
2026-08-01T12:55,18.6,1.0,OK,Falling,37,
2026-08-01T18:53,32.1,6.6,HOT,Rising,67,
2026-08-02T01:48,26.1,13.0,WARM,Falling,58,
2026-08-02T08:04,20.0,3.8,OK,Falling,41,
2026-08-02T12:57,18.8,5.2,OK,Stable,40,
2026-08-02T18:54,31.3,8.1,HOT,Rising,66,
2026-08-03T01:51,25.9,11.3,WARM,Falling,57,
2026-08-03T09:20,19.9,4.5,OK,Falling,42,
2026-08-03T14:14,19.1,2.4,OK,Stable,39,
2026-08-03T19:17,30.7,8.2,HOT,Rising,65,
2026-08-04T01:26,26.6,11.6,WARM,Falling,59,
2026-08-04T08:19,19.3,1.9,OK,Falling,39,
2026-08-04T13:46,18.4,4.0,OK,Stable,38,
2026-08-04T19:17,28.0,8.7,WARM,Rising,60,
2026-08-05T01:41,24.6,13.1,WARM,Falling,55,
2026-08-05T08:15,18.6,4.4,OK,Falling,39,
2026-08-05T13:42,18.1,4.4,OK,Stable,38,
2026-08-05T19:13,27.7,10.0,WARM,Rising,60,
2026-08-06T01:29,24.5,11.2,WARM,Falling,54,
2026-08-06T08:14,19.2,2.5,OK,Falling,39,
2026-08-06T13:40,18.0,3.6,OK,Stable,37,
2026-08-06T23:49,28.2,13.8,WARM,Rising,63,
2026-08-07T02:06,25.2,11.6,WARM,Falling,56,
2026-08-07T06:59,20.3,1.8,WARM,Falling,41,
2026-08-07T12:39,18.2,4.3,OK,Falling,38,
2026-08-07T18:39,30.1,6.9,HOT,Rising,63,
2026-08-08T00:52,28.6,14.5,WARM,Stable,64,
2026-08-08T06:33,20.7,5.1,WARM,Falling,43,
2026-08-08T12:25,18.5,2.9,OK,Falling,38,
2026-08-08T18:21,31.7,8.4,HOT,Rising,67,
2026-08-09T00:55,28.6,15.2,WARM,Falling,64,
2026-08-09T06:37,21.3,2.9,WARM,Falling,44,
2026-08-09T12:27,19.1,2.9,OK,Falling,39,
2026-08-09T18:24,30.7,5.0,HOT,Rising,63,
2026-08-10T00:57,29.3,14.0,WARM,Stable,65,
2026-08-10T07:09,21.3,3.8,WARM,Falling,44,
2026-08-10T12:43,19.7,4.3,OK,Falling,41,
2026-08-10T18:41,31.7,10.8,HOT,Rising,68,
2026-08-11T00:56,27.5,14.2,WARM,Falling,62,
2026-08-11T06:47,20.6,4.9,WARM,Falling,43,
2026-08-11T12:40,20.6,3.5,WARM,Stable,42,
2026-08-11T18:45,30.8,8.0,HOT,Rising,65,
2026-08-12T01:03,26.6,15.4,WARM,Falling,60,
2026-08-12T07:07,21.0,6.9,WARM,Falling,45,
2026-08-12T12:43,19.5,1.5,OK,Stable,39,
2026-08-12T18:46,29.1,8.9,WARM,Rising,62,
2026-08-13T01:05,24.7,13.7,WARM,Falling,56,
2026-08-13T07:11,19.7,5.5,OK,Falling,42,
2026-08-13T12:44,21.0,4.0,WARM,Stable,44,
2026-08-13T18:47,26.3,10.4,WARM,Rising,57,
2026-08-14T01:03,24.5,13.5,WARM,Falling,55,
2026-08-14T07:08,19.4,7.1,OK,Falling,42,
2026-08-14T12:40,20.2,2.3,WARM,Stable,41,
2026-08-14T18:40,26.5,8.4,WARM,Rising,57,
2026-08-15T00:38,25.9,14.1,WARM,Stable,58,
2026-08-15T06:19,19.5,3.0,OK,Falling,40,
2026-08-15T12:16,19.8,2.2,OK,Stable,40,
2026-08-15T18:13,24.0,6.9,WARM,Rising,51,
2026-08-16T00:40,24.6,15.0,WARM,Stable,56,
2026-08-16T06:21,18.3,3.6,OK,Falling,38,
